Time,Channel 0,Sensor
5.0725,4058,542
5.074166667,4057,535
5.075833333,4058,536
5.0775,4058,542
5.079166667,4057,543
5.080833333,4059,541
5.0825,4058,539
5.084166667,4057,536
5.085833333,4059,543
5.0875,4058,542
5.089166667,4057,541
5.090833333,4058,538
5.0925,4058,537
5.094166667,4058,542
5.095833333,4058,539
5.0975,4058,540
5.099166667,4058,536
5.100833333,4058,536
5.1025,4058,536
5.104166667,4057,538
5.105833333,4058,535
5.1075,4059,536
5.109166667,4058,537
5.110833333,4058,540
5.1125,4058,543
5.114166667,4058,536
5.115833333,4058,536
5.1175,4058,533
5.119166667,4058,538
5.120833333,4058,539
5.1225,4058,536
5.124166667,4057,536
5.125833333,4058,534
5.1275,4057,534
5.129166667,4059,540
5.130833333,4058,536
5.1325,4058,534
5.134166667,4058,534
5.135833333,4058,536
5.1375,4058,537
5.139166667,4058,533
5.140833333,4058,533
5.1425,4058,534
5.144166667,4058,537
5.145833333,4058,535
5.1475,4059,535
5.149166667,4059,531
5.150833333,4058,536
5.1525,4058,538
5.154166667,4059,541
5.155833333,4057,532
5.1575,4058,534
5.159166667,4056,535
5.160833333,4059,544
5.1625,4058,550
5.164166667,4058,553
5.165833333,4058,564
5.1675,4058,577
5.169166667,4058,586
5.170833333,4059,591
5.1725,4059,595
5.174166667,4059,595
5.175833333,4058,597
5.1775,4059,603
5.179166667,4058,603
5.180833333,4058,602
5.1825,4059,601
5.184166667,4059,595
5.185833333,4058,595
5.1875,4059,598
5.189166667,4059,591
5.190833333,4058,583
5.1925,4057,582
5.194166667,4058,578
5.195833333,4058,577
5.1975,4059,572
5.199166667,4057,566
5.200833333,4058,565
5.2025,4058,560
5.204166667,4058,556
5.205833333,4058,554
5.2075,4058,552
5.209166667,4058,548
5.210833333,4060,555
5.2125,4058,550
5.214166667,4058,543
5.215833333,4058,537
5.2175,4058,540
5.219166667,4058,538
5.220833333,4057,541
5.2225,4058,543
5.224166667,4058,536
5.225833333,4057,536
5.2275,4057,537
5.229166667,4058,536
5.230833333,4059,540
5.2325,4057,532
5.234166667,4057,534
5.235833333,4058,539
5.2375,4058,536
5.239166667,4058,534
5.240833333,4059,532
5.2425,4059,533
5.244166667,4059,538
5.245833333,4057,535
5.2475,4058,538
5.249166667,4058,536
5.250833333,4057,532
5.2525,4058,535
5.254166667,4057,536
5.255833333,4060,539
5.2575,4059,532
5.259166667,4059,532
5.260833333,4057,530
5.2625,4058,537
5.264166667,4058,531
5.265833333,4058,532
5.2675,4058,532
5.269166667,4058,533
5.270833333,4058,539
5.2725,4058,531
5.274166667,4058,531
5.275833333,4058,532
5.2775,4057,535
5.279166667,4057,536
5.280833333,4057,532
5.2825,4059,532
5.284166667,4058,532
5.285833333,4058,534
5.2875,4058,531
5.289166667,4058,535
5.290833333,4059,533
5.2925,4058,531
5.294166667,4057,536
5.295833333,4058,536
5.2975,4057,534
5.299166667,4059,529
5.300833333,4057,532
5.3025,4058,538
5.304166667,4058,537
5.305833333,4058,534
5.3075,4058,531
5.309166667,4058,534
5.310833333,4058,536
5.3125,4058,535
5.314166667,4057,532
5.315833333,4058,532
5.3175,4058,534
5.319166667,4059,534
5.320833333,4058,537
5.3225,4058,539
5.324166667,4058,533
5.325833333,4059,530
5.3275,4059,533
5.329166667,4057,534
5.330833333,4058,532
5.3325,4058,532
5.334166667,4058,535
5.335833333,4058,537
5.3375,4058,535
5.339166667,4058,537
5.340833333,4057,531
5.3425,4058,530
5.344166667,4058,540
5.345833333,4058,535
5.3475,4058,535
5.349166667,4058,534
5.350833333,4059,536
5.3525,4057,533
5.354166667,4058,532
5.355833333,4059,533
5.3575,4058,530
5.359166667,4058,533
5.360833333,4057,537
5.3625,4059,538
5.364166667,4057,530
5.365833333,4058,533
5.3675,4058,534
5.369166667,4057,536
5.370833333,4057,536
5.3725,4058,534
5.374166667,4058,531
5.375833333,4058,530
5.3775,4057,536
5.379166667,4058,535
5.380833333,4058,538
5.3825,4058,531
5.384166667,4058,532
5.385833333,4058,532
5.3875,4058,537
5.389166667,4058,534
5.390833333,4058,532
5.3925,4057,532
5.394166667,4058,537
5.395833333,4057,538
5.3975,4058,535
5.399166667,4058,533
5.400833333,4057,537
5.4025,4059,546
5.404166667,4059,553
5.405833333,4058,562
5.4075,4058,571
5.409166667,4059,587
5.410833333,4058,599
5.4125,4058,615
5.414166667,4058,620
5.415833333,4057,628
5.4175,4058,633
5.419166667,4059,641
5.420833333,4057,640
5.4225,4058,638
5.424166667,4059,635
5.425833333,4059,627
5.4275,4058,626
5.429166667,4058,617
5.430833333,4059,608
5.4325,4058,599
5.434166667,4058,594
5.435833333,4058,591
5.4375,4058,582
5.439166667,4058,573
5.440833333,4058,570
5.4425,4057,562
5.444166667,4057,560
5.445833333,4058,559
5.4475,4058,555
5.449166667,4057,551
5.450833333,4057,548
5.4525,4058,553
5.454166667,4060,552
5.455833333,4058,543
5.4575,4057,540
5.459166667,4058,544
5.460833333,4058,544
5.4625,4058,541
5.464166667,4058,542
5.465833333,4058,537
5.4675,4058,539
5.469166667,4058,538
5.470833333,4057,539
5.4725,4058,536
5.474166667,4058,534
5.475833333,4058,541
5.4775,4059,543
5.479166667,4059,540
5.480833333,4060,539
5.4825,4058,537
5.484166667,4059,536
5.485833333,4058,540
5.4875,4058,536
5.489166667,4057,537
5.490833333,4058,534
5.4925,4058,537
5.494166667,4058,538
5.495833333,4058,539
5.4975,4058,533
5.499166667,4058,534
5.500833333,4058,536
5.5025,4057,538
5.504166667,4058,538
5.505833333,4058,539
5.5075,4058,533
5.509166667,4058,534
5.510833333,4058,540
5.5125,4057,538
5.514166667,4057,536
5.515833333,4058,535
5.5175,4058,536
5.519166667,4058,537
5.520833333,4058,537
5.5225,4059,539
5.524166667,4058,536
5.525833333,4058,536
5.5275,4058,538
5.529166667,4059,539
5.530833333,4057,539
5.5325,4058,535
5.534166667,4058,539
5.535833333,4058,539
5.5375,4058,536
5.539166667,4058,533
5.540833333,4057,531
5.5425,4058,535
5.544166667,4058,540
5.545833333,4058,538
5.5475,4058,538
5.549166667,4059,534
5.550833333,4057,534
5.5525,4059,537
5.554166667,4059,540
5.555833333,4057,535
5.5575,4058,535
5.559166667,4058,535
5.560833333,4058,538
5.5625,4059,538
5.564166667,4059,536
5.565833333,4057,535
5.5675,4058,539
5.569166667,4058,538
5.570833333,4057,538
5.5725,4058,534
5.574166667,4058,538
5.575833333,4057,536
5.5775,4057,538
5.579166667,4057,538
5.580833333,4058,536
5.5825,4058,535
5.584166667,4057,531
5.585833333,4058,538
5.5875,4056,539
5.589166667,4058,533
5.590833333,4059,536
5.5925,4058,530
5.594166667,4057,537
5.595833333,4058,541
5.5975,4058,535
5.599166667,4059,540
5.600833333,4058,534
5.6025,4058,537
5.604166667,4058,538
5.605833333,4057,534
5.6075,4058,532
5.609166667,4058,534
5.610833333,4058,538
5.6125,4059,541
5.614166667,4058,536
5.615833333,4058,536
5.6175,4057,538
5.619166667,4058,538
5.620833333,4057,540
5.6225,4057,536
5.624166667,4059,534
5.625833333,4059,540
5.6275,4057,541
5.629166667,4058,537
5.630833333,4058,536
